Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
UNIVERSITY OF CALGARY,1/1/1990,1990,1,1,5,-4.5,0.3,0,0.2,0.2
UNIVERSITY OF CALGARY,1/2/1990,1990,1,2,-2.5,-11.5,-7,0,0.6,0.6
UNIVERSITY OF CALGARY,1/3/1990,1990,1,3,1.5,-12,-5.3,0,0,0
UNIVERSITY OF CALGARY,1/4/1990,1990,1,4,2.5,-12.5,-5,0,0,0
UNIVERSITY OF CALGARY,1/5/1990,1990,1,5,7,-12,-2.5,0,0,0
UNIVERSITY OF CALGARY,1/6/1990,1990,1,6,5.5,-2.5,1.5,0,0,0
UNIVERSITY OF CALGARY,1/7/1990,1990,1,7,7,-5,1,0,0,0
UNIVERSITY OF CALGARY,1/8/1990,1990,1,8,7,-1,3,0,0,0
UNIVERSITY OF CALGARY,1/9/1990,1990,1,9,5.5,-3.5,1,0,0.4,0.4
UNIVERSITY OF CALGARY,1/10/1990,1990,1,10,-0.5,-5,-2.8,0,0,0
UNIVERSITY OF CALGARY,1/11/1990,1990,1,11,-0.5,-14.5,-7.5,0,0,0
UNIVERSITY OF CALGARY,1/12/1990,1990,1,12,5.5,-12,-3.3,0,0,0
UNIVERSITY OF CALGARY,1/13/1990,1990,1,13,10,-1,4.5,0,0,0
UNIVERSITY OF CALGARY,1/14/1990,1990,1,14,4,-1.5,1.3,0,0,0
UNIVERSITY OF CALGARY,1/15/1990,1990,1,15,3,-6.5,-1.8,0,0,0
UNIVERSITY OF CALGARY,1/16/1990,1990,1,16,-4,-7,-5.5,0,0.9,0.9
UNIVERSITY OF CALGARY,1/17/1990,1990,1,17,-0.5,-13,-6.8,0,0,0
UNIVERSITY OF CALGARY,1/18/1990,1990,1,18,6,-8.5,-1.3,0,0,0
UNIVERSITY OF CALGARY,1/19/1990,1990,1,19,7,-10.5,-1.8,0,0,0
UNIVERSITY OF CALGARY,1/20/1990,1990,1,20,5.5,-4.5,0.5,0,0,0
UNIVERSITY OF CALGARY,1/21/1990,1990,1,21,7.5,-1.5,3,0,0,0
UNIVERSITY OF CALGARY,1/22/1990,1990,1,22,7,-2,2.5,0,0,0
UNIVERSITY OF CALGARY,1/23/1990,1990,1,23,-1.5,-9,-5.3,0,0.5,0.5
UNIVERSITY OF CALGARY,1/24/1990,1990,1,24,5,-11.5,-3.3,0,0,0
UNIVERSITY OF CALGARY,1/25/1990,1990,1,25,6.5,-2.5,2,0,2.2,2.2
UNIVERSITY OF CALGARY,1/26/1990,1990,1,26,-6,-12,-9,0,0,0
UNIVERSITY OF CALGARY,1/27/1990,1990,1,27,0,-16,-8,0,0,0
UNIVERSITY OF CALGARY,1/28/1990,1990,1,28,0.5,-9,-4.3,0,1.9,1.9
UNIVERSITY OF CALGARY,1/29/1990,1990,1,29,-18.5,-22.5,-20.5,0,1.4,1.4
UNIVERSITY OF CALGARY,1/30/1990,1990,1,30,-26,-28,-27,0,0.8,0.8
UNIVERSITY OF CALGARY,1/31/1990,1990,1,31,-26,-30.5,-28.3,0,0,0
UNIVERSITY OF CALGARY,2/1/1990,1990,2,1,-9.5,-30.5,-20,0,0,0
UNIVERSITY OF CALGARY,2/2/1990,1990,2,2,4,-22.5,-9.3,0,0,0
UNIVERSITY OF CALGARY,2/3/1990,1990,2,3,9,-4,2.5,0,2.8,2.8
UNIVERSITY OF CALGARY,2/4/1990,1990,2,4,1.5,-7.5,-3,0,0.2,0.2
UNIVERSITY OF CALGARY,2/5/1990,1990,2,5,3.5,-12,-4.3,0,0,0
UNIVERSITY OF CALGARY,2/6/1990,1990,2,6,1.5,-7,-2.8,0,0,0
UNIVERSITY OF CALGARY,2/7/1990,1990,2,7,0,-16,-8,0,0,0
UNIVERSITY OF CALGARY,2/8/1990,1990,2,8,-4,-11,-7.5,0,0,0
UNIVERSITY OF CALGARY,2/9/1990,1990,2,9,4.5,-16,-5.8,0,0,0
UNIVERSITY OF CALGARY,2/10/1990,1990,2,10,9,-2,3.5,0,0,0
UNIVERSITY OF CALGARY,2/11/1990,1990,2,11,6.5,-6,0.3,0,3,3
UNIVERSITY OF CALGARY,2/12/1990,1990,2,12,-16.5,-21,-18.8,0,1.2,1.2
UNIVERSITY OF CALGARY,2/13/1990,1990,2,13,-18,-27,-22.5,0,0,0
UNIVERSITY OF CALGARY,2/14/1990,1990,2,14,-5,-27.5,-16.3,0,0,0
UNIVERSITY OF CALGARY,2/15/1990,1990,2,15,-16.5,-22,-19.3,0,2.2,2.2
UNIVERSITY OF CALGARY,2/16/1990,1990,2,16,-24.5,-27,-25.8,0,0.4,0.4
UNIVERSITY OF CALGARY,2/17/1990,1990,2,17,-8.5,-32.5,-20.5,0,0,0
UNIVERSITY OF CALGARY,2/18/1990,1990,2,18,-2.5,-20,-11.3,0,0,0
UNIVERSITY OF CALGARY,2/19/1990,1990,2,19,9,-10,-0.5,0,0,0
UNIVERSITY OF CALGARY,2/20/1990,1990,2,20,7.5,-0.5,3.5,0,0,0
UNIVERSITY OF CALGARY,2/21/1990,1990,2,21,8,-7.5,0.3,0,0,0
UNIVERSITY OF CALGARY,2/22/1990,1990,2,22,12,-4,4,0,0,0
UNIVERSITY OF CALGARY,2/23/1990,1990,2,23,5.5,-2,1.8,0,0,0
UNIVERSITY OF CALGARY,2/24/1990,1990,2,24,6,-4,1,0,0,0
UNIVERSITY OF CALGARY,2/25/1990,1990,2,25,10,-2.5,3.8,0,0.2,0.2
UNIVERSITY OF CALGARY,2/26/1990,1990,2,26,1,-6.5,-2.8,0,0,0
UNIVERSITY OF CALGARY,2/27/1990,1990,2,27,10,-8.5,0.8,0,0,0
UNIVERSITY OF CALGARY,2/28/1990,1990,2,28,16,-3.5,6.3,0,0,0
UNIVERSITY OF CALGARY,3/1/1990,1990,3,1,12.5,-2.5,5,0,0,0
UNIVERSITY OF CALGARY,3/2/1990,1990,3,2,13.5,-6,3.8,0,0,0
UNIVERSITY OF CALGARY,3/3/1990,1990,3,3,11.5,-3.5,4,0,0,0
UNIVERSITY OF CALGARY,3/4/1990,1990,3,4,8.5,-2,3.3,0,0,0
UNIVERSITY OF CALGARY,3/5/1990,1990,3,5,10.5,-3,3.8,0,0,0
UNIVERSITY OF CALGARY,3/6/1990,1990,3,6,12.5,-3.5,4.5,0,0,0
UNIVERSITY OF CALGARY,3/7/1990,1990,3,7,10.5,-2.5,4,0,0,0
UNIVERSITY OF CALGARY,3/8/1990,1990,3,8,7.5,-3.5,2,0,1.6,1.6
UNIVERSITY OF CALGARY,3/9/1990,1990,3,9,4,-10,-3,0,0,0
UNIVERSITY OF CALGARY,3/10/1990,1990,3,10,12.5,-1.5,5.5,0,0,0
UNIVERSITY OF CALGARY,3/11/1990,1990,3,11,-1.5,-5,-3.3,0,4.8,4.8
UNIVERSITY OF CALGARY,3/12/1990,1990,3,12,1,-6,-2.5,0,0,0
UNIVERSITY OF CALGARY,3/13/1990,1990,3,13,7.5,-7,0.3,0,0,0
UNIVERSITY OF CALGARY,3/14/1990,1990,3,14,9,-6.5,1.3,0,0,0
UNIVERSITY OF CALGARY,3/15/1990,1990,3,15,8,-3,2.5,0,0,0
UNIVERSITY OF CALGARY,3/16/1990,1990,3,16,7.5,-4,1.8,0,3,3
UNIVERSITY OF CALGARY,3/17/1990,1990,3,17,4,-5,-0.5,0,0,0
UNIVERSITY OF CALGARY,3/18/1990,1990,3,18,13,-7,3,0,0,0
UNIVERSITY OF CALGARY,3/19/1990,1990,3,19,13,-0.5,6.3,0,0,0
UNIVERSITY OF CALGARY,3/20/1990,1990,3,20,2.5,-4,-0.8,0,0,0
UNIVERSITY OF CALGARY,3/21/1990,1990,3,21,-3.5,-9.5,-6.5,0,2.2,2.2
UNIVERSITY OF CALGARY,3/22/1990,1990,3,22,-9,-16.5,-12.8,0,0,0
UNIVERSITY OF CALGARY,3/23/1990,1990,3,23,-5,-17.5,-11.3,0,0,0
UNIVERSITY OF CALGARY,3/24/1990,1990,3,24,8,-13.5,-2.8,0,0,0
UNIVERSITY OF CALGARY,3/25/1990,1990,3,25,6,-7.5,-0.8,0,0,0
UNIVERSITY OF CALGARY,3/26/1990,1990,3,26,12.5,-3,4.8,0,0,0
UNIVERSITY OF CALGARY,3/27/1990,1990,3,27,7.5,-3,2.3,0,0,0
UNIVERSITY OF CALGARY,3/28/1990,1990,3,28,14,-5.5,4.3,0,0,0
UNIVERSITY OF CALGARY,3/29/1990,1990,3,29,18,-2.5,7.8,0,0,0
UNIVERSITY OF CALGARY,3/30/1990,1990,3,30,17,-1,8,0,0,0
UNIVERSITY OF CALGARY,3/31/1990,1990,3,31,6,2,4,0.4,0,0.4
UNIVERSITY OF CALGARY,4/1/1990,1990,4,1,16,2,9,0,0,0
UNIVERSITY OF CALGARY,4/2/1990,1990,4,2,18.5,4,11.3,0,0,0
UNIVERSITY OF CALGARY,4/3/1990,1990,4,3,10.5,1.5,6,0,0.6,0.6
UNIVERSITY OF CALGARY,4/4/1990,1990,4,4,0.5,-1.5,-0.5,0,3.2,3.2
UNIVERSITY OF CALGARY,4/5/1990,1990,4,5,9,-6,1.5,0,0,0
UNIVERSITY OF CALGARY,4/6/1990,1990,4,6,12,-2,5,0,0,0
UNIVERSITY OF CALGARY,4/7/1990,1990,4,7,12,0,6,1,1.8,2.8
UNIVERSITY OF CALGARY,4/8/1990,1990,4,8,-0.5,-6,-3.3,0,2.4,2.4
UNIVERSITY OF CALGARY,4/9/1990,1990,4,9,-3.5,-9,-6.3,0,0.8,0.8
UNIVERSITY OF CALGARY,4/10/1990,1990,4,10,0,-13.5,-6.8,0,0,0
UNIVERSITY OF CALGARY,4/11/1990,1990,4,11,6,-10,-2,0,0,0
UNIVERSITY OF CALGARY,4/12/1990,1990,4,12,9.5,-2,3.8,0,0,0
UNIVERSITY OF CALGARY,4/13/1990,1990,4,13,14,-3.5,5.3,0,0,0
UNIVERSITY OF CALGARY,4/14/1990,1990,4,14,14,2,8,0,0,0
UNIVERSITY OF CALGARY,4/15/1990,1990,4,15,13,-1,6,0,0.2,0.2
UNIVERSITY OF CALGARY,4/16/1990,1990,4,16,9.5,-2,3.8,0,0,0
UNIVERSITY OF CALGARY,4/17/1990,1990,4,17,17.5,-6,5.8,0,0,0
UNIVERSITY OF CALGARY,4/18/1990,1990,4,18,19.5,6,12.8,0,0,0
UNIVERSITY OF CALGARY,4/19/1990,1990,4,19,20,4.5,12.3,0,0,0
UNIVERSITY OF CALGARY,4/20/1990,1990,4,20,18.5,7,12.8,0,0,0
UNIVERSITY OF CALGARY,4/21/1990,1990,4,21,19.5,5,12.3,0,0,0
UNIVERSITY OF CALGARY,4/22/1990,1990,4,22,17.5,3,10.3,5,0,5
UNIVERSITY OF CALGARY,4/23/1990,1990,4,23,15,6,10.5,3.6,0,3.6
UNIVERSITY OF CALGARY,4/24/1990,1990,4,24,16.5,-2,7.3,0,0,0
UNIVERSITY OF CALGARY,4/25/1990,1990,4,25,12,-2.5,4.8,0.2,7,7.2
UNIVERSITY OF CALGARY,4/26/1990,1990,4,26,2.5,-1,0.8,0,1.6,1.6
UNIVERSITY OF CALGARY,4/27/1990,1990,4,27,1.5,-2.5,-0.5,0,4.3,4.3
UNIVERSITY OF CALGARY,4/28/1990,1990,4,28,-1.5,-5,-3.3,0,0.8,0.8
UNIVERSITY OF CALGARY,4/29/1990,1990,4,29,3.5,-4,-0.3,0,0,0
UNIVERSITY OF CALGARY,4/30/1990,1990,4,30,12.5,-3,4.8,0,0,0
UNIVERSITY OF CALGARY,5/1/1990,1990,5,1,14.5,0.5,7.5,1.4,0,1.4
UNIVERSITY OF CALGARY,5/2/1990,1990,5,2,13,3,8,0,0,0
UNIVERSITY OF CALGARY,5/3/1990,1990,5,3,18,3,10.5,0,0,0
UNIVERSITY OF CALGARY,5/4/1990,1990,5,4,21,3,12,0,0,0
UNIVERSITY OF CALGARY,5/5/1990,1990,5,5,25,6.5,15.8,0,0,0
UNIVERSITY OF CALGARY,5/6/1990,1990,5,6,20,3.5,11.8,0.2,0,0.2
UNIVERSITY OF CALGARY,5/7/1990,1990,5,7,9.5,-1.5,4,0,4.5,4.5
UNIVERSITY OF CALGARY,5/8/1990,1990,5,8,7,-3.5,1.8,0,0,0
UNIVERSITY OF CALGARY,5/9/1990,1990,5,9,13,-2.5,5.3,4.2,0,4.2
UNIVERSITY OF CALGARY,5/10/1990,1990,5,10,12,1.5,6.8,0.2,0,0.2
UNIVERSITY OF CALGARY,5/11/1990,1990,5,11,8.5,1,4.8,0,8.6,8.6
UNIVERSITY OF CALGARY,5/12/1990,1990,5,12,7,0,3.5,0,1,1
UNIVERSITY OF CALGARY,5/13/1990,1990,5,13,12,1,6.5,1.2,0,1.2
UNIVERSITY OF CALGARY,5/14/1990,1990,5,14,11,0,5.5,0.6,0,0.6
UNIVERSITY OF CALGARY,5/15/1990,1990,5,15,11,1,6,0.2,0,0.2
UNIVERSITY OF CALGARY,5/16/1990,1990,5,16,13,0.5,6.8,0,0,0
UNIVERSITY OF CALGARY,5/17/1990,1990,5,17,14.5,-0.5,7,0,0,0
UNIVERSITY OF CALGARY,5/18/1990,1990,5,18,12.5,3,7.8,0.6,0,0.6
UNIVERSITY OF CALGARY,5/19/1990,1990,5,19,13.5,1.5,7.5,3,0,3
UNIVERSITY OF CALGARY,5/20/1990,1990,5,20,15,1,8,2.4,0,2.4
UNIVERSITY OF CALGARY,5/21/1990,1990,5,21,13.5,6,9.8,0,0,0
UNIVERSITY OF CALGARY,5/22/1990,1990,5,22,19.5,0,9.8,0,0,0
UNIVERSITY OF CALGARY,5/23/1990,1990,5,23,22.5,5.5,14,2.1,0,2.1
UNIVERSITY OF CALGARY,5/24/1990,1990,5,24,13.5,10,11.8,36.1,0,36.1
UNIVERSITY OF CALGARY,5/25/1990,1990,5,25,13.5,10,11.8,6.3,0,6.3
UNIVERSITY OF CALGARY,5/26/1990,1990,5,26,13.5,6,9.8,6.3,0,6.3
UNIVERSITY OF CALGARY,5/27/1990,1990,5,27,15,4.5,9.8,0,0,0
UNIVERSITY OF CALGARY,5/28/1990,1990,5,28,15.5,4,9.8,9.6,0,9.6
UNIVERSITY OF CALGARY,5/29/1990,1990,5,29,17,11,14,9,0,9
UNIVERSITY OF CALGARY,5/30/1990,1990,5,30,17.5,11.5,14.5,4.4,0,4.4
UNIVERSITY OF CALGARY,5/31/1990,1990,5,31,20,5,12.5,1,0,1
UNIVERSITY OF CALGARY,6/1/1990,1990,6,1,16.5,10,13.3,16.3,0,16.3
UNIVERSITY OF CALGARY,6/2/1990,1990,6,2,8,4.5,6.3,3.6,0,3.6
UNIVERSITY OF CALGARY,6/3/1990,1990,6,3,17.5,5,11.3,0,0,0
UNIVERSITY OF CALGARY,6/4/1990,1990,6,4,15.5,4,9.8,0.2,0,0.2
UNIVERSITY OF CALGARY,6/5/1990,1990,6,5,15,6,10.5,0.4,0,0.4
UNIVERSITY OF CALGARY,6/6/1990,1990,6,6,17.5,7,12.3,0,0,0
UNIVERSITY OF CALGARY,6/7/1990,1990,6,7,16,6,11,0.4,0,0.4
UNIVERSITY OF CALGARY,6/8/1990,1990,6,8,19,8.5,13.8,0,0,0
UNIVERSITY OF CALGARY,6/9/1990,1990,6,9,21,6,13.5,0,0,0
UNIVERSITY OF CALGARY,6/10/1990,1990,6,10,18,9.5,13.8,0.8,0,0.8
UNIVERSITY OF CALGARY,6/11/1990,1990,6,11,12.5,5,8.8,2.2,0,2.2
UNIVERSITY OF CALGARY,6/12/1990,1990,6,12,12,5.5,8.8,0.8,0,0.8
UNIVERSITY OF CALGARY,6/13/1990,1990,6,13,13,4.5,8.8,1.6,0,1.6
UNIVERSITY OF CALGARY,6/14/1990,1990,6,14,16,4.5,10.3,0,0,0
UNIVERSITY OF CALGARY,6/15/1990,1990,6,15,19.5,2.5,11,0,0,0
UNIVERSITY OF CALGARY,6/16/1990,1990,6,16,19.5,5.5,12.5,4.8,0,4.8
UNIVERSITY OF CALGARY,6/17/1990,1990,6,17,19,8,13.5,0,0,0
UNIVERSITY OF CALGARY,6/18/1990,1990,6,18,22,7.5,14.8,0.2,0,0.2
UNIVERSITY OF CALGARY,6/19/1990,1990,6,19,21.5,7.5,14.5,0.4,0,0.4
UNIVERSITY OF CALGARY,6/20/1990,1990,6,20,16,9,12.5,0.6,0,0.6
UNIVERSITY OF CALGARY,6/21/1990,1990,6,21,23,5,14,0,0,0
UNIVERSITY OF CALGARY,6/22/1990,1990,6,22,25.5,8,16.8,0,0,0
UNIVERSITY OF CALGARY,6/23/1990,1990,6,23,26.5,14,20.3,0,0,0
UNIVERSITY OF CALGARY,6/24/1990,1990,6,24,22,10.5,16.3,20,0,20
UNIVERSITY OF CALGARY,6/25/1990,1990,6,25,26.5,10,18.3,0,0,0
UNIVERSITY OF CALGARY,6/26/1990,1990,6,26,26,11.5,18.8,0,0,0
UNIVERSITY OF CALGARY,6/27/1990,1990,6,27,22,10,16,6.8,0,6.8
UNIVERSITY OF CALGARY,6/28/1990,1990,6,28,21,8,14.5,1.4,0,1.4
UNIVERSITY OF CALGARY,6/29/1990,1990,6,29,22,7,14.5,3.3,0,3.3
UNIVERSITY OF CALGARY,6/30/1990,1990,6,30,24.5,12,18.3,0.5,0,0.5
